tmc,road,intersection,has_anomalies,total_anomaly_duration_minutes
101P20199,OLD ROSWELL RD,WESTSIDE PKWY,True,54.0
101N53142,CHARLOTTE DR,MAYFIELD RD,False,0.0
101N53141,CHARLOTTE DR,MID BROADWELL RD,False,0.0
101N06954,STATE BRIDGE RD,GA-120/KIMBALL BRIDGE RD,True,0.0
101P20194,WILLS RD,OLD ROSWELL RD,False,0.0
101P20197,WILLS RD,MARIETTA ST/OLD MILTON PKWY/RUCKER RD,False,0.0
101P20196,WILLS RD,GA-9/GA-120/S MAIN ST/ALPHARETTA HWY,False,0.0
101N05622,WINDWARD PKY W,US-19/GA-400,False,0.0
101N06953,STATE BRIDGE RD,GA-120/OLD MILTON PKY,False,0.0
101N14346,NORTH POINT PKY,WINDWARD PKY,False,0.0
101N14344,NORTH POINT PKY,GA-120/OLD MILTON PKY,False,0.0
101N14342,NORTH POINT PKY,HAYNES BRIDGE RD,False,0.0
101N14341,NORTH POINT PKY,MANSELL RD,False,0.0
101N14340,DEERFIELD PKY,GA-9/CUMMING HWY,False,0.0
101-53164,HOPEWELL RD,BETHANY WAY/BETHANY RD,False,0.0
101-53163,HOPEWELL RD,BETHANY RD/BETHANY BND,True,21.0
101-53162,HOPEWELL RD,CANTON ST,True,13.0
101-53161,HOPEWELL RD,PEBBLE TRL,False,0.0
101P53201,MULLINAX RD,UNION HILL RD,False,0.0
101+53319,SARGENT RD,MCGINNIS FERRY RD,False,0.0
101N20110,WATERS RD,KIMBALL BRIDGE RD,True,5.0
101+53316,CLUB HOUSE DR,DOUGLAS RD,False,0.0
101N14350,HAYNES BRIDGE RD,NORTH POINT PKY,False,0.0
101P53309,BROADWELL RD,GA-372/CRABAPPLE RD/MAYFIELD RD,False,0.0
101N53131,COGBURN RD,HOPEWELL RD/FRANCIS RD,True,0.0
101N53252,CUMMING ST/UNION HILL RD,WESTSIDE PKWY,False,0.0
101N53251,CUMMING ST,GA-9/N MAIN ST,False,0.0
101+20195,WILLS RD,HEMBREE RD,False,0.0
101N20109,WATERS RD,JONES BRIDGE RD,False,0.0
101N14354,HAYNES BRIDGE RD,ACADEMY ST,False,0.0
101N14353,HAYNES BRIDGE RD,GA-120/MADDOX ST/OLD MILTON PKY,False,0.0
101N14352,HAYNES BRIDGE RD,MORRISON PKY/WESTSIDE PKY,False,0.0
101N14351,HAYNES BRIDGE RD,US-19/GA-400/TURNER MCDONALD PKY,False,0.0
101-53153,BETHANY RD,MAYFIELD RD,False,0.0
101-53152,BETHANY RD,MID BROADWELL RD,False,0.0
101P53311,DOUGLAS RD,JONES BRIDGE RD,False,0.0
101N07820,GA-120,JONES BRIDGE RD,False,0.0
101N53242,HAGOOD RD/HAYGOOD RD,REDD RD,True,16.0
101N53241,HAGOOD RD/HAYGOOD RD,BETHANY WAY/BETHANY RD,False,0.0
101P20092,HEMBREE RD,WESTSIDE PKWY,False,0.0
101P20091,HEMBREE RD,OLD ROSWELL RD,False,0.0
101-53064,MILTON AVE,WILLS RD,False,0.0
101-53185,UNION HILL RD,MCFARLAND PKWY,False,0.0
101-53184,UNION HILL RD,MCGINNIS FERRY RD/RONALD REAGAN BLVD,False,0.0
101-53061,WEBB BRIDGE RD,NORTH POINT PKWY,False,0.0
101-53060,WEBB BRIDGE RD,HOSPITALITY HWY,False,0.0
101-53180,HOLBROOK CAMPGROUND RD,DREW RD,False,0.0
101+20092,HEMBREE RD,WESTSIDE PKWY,False,0.0
101N53231,S THOMPSON RD,HOPEWELL RD,False,0.0
101N53230,S THOMPSON RD,REDD RD,False,0.0
101N07135,GA-120,US-19/GA-400/TURNER MCDONALD PKY,False,0.0
101+20091,HEMBREE RD,OLD ROSWELL RD,False,0.0
101N14335,GA-9,GA-371/POST RD/MULLINAX RD,False,0.0
101N14334,GA-9,MCFARLAND RD/NINE MCFARLAND DR,False,0.0
101N14333,GA-9,BETHANY BND/BETHANY RD,False,0.0
101N07134,GA-120,HAYNES BRIDGE RD,False,0.0
101N14332,GA-9,DEERFIELD PKY,False,0.0
101N14331,GA-9,WEBB RD,False,0.0
101N14330,GA-9,WINDWARD PKY W,False,0.0
101-53054,WINDWARD PKY W,MCGINNIS FERRY RD,False,0.0
101-53175,BETHANY BND/BETHANY RD,GA-9/ALPHARETTA HWY/CUMMING HWY,False,0.0
101-53174,BETHANY BND/BETHANY RD,COGBURN RD,False,0.0
101-53173,BETHANY BND/BETHANY RD,HOPEWELL RD,False,0.0
101-53170,HOPEWELL RD,MOUNTAIN RD,False,0.0
101N18183,MORRIS RD,DEERFIELD PKWY,False,0.0
101+18187,OLD MILTON PKWY,GA-9/GA-120/S MAIN ST,False,0.0
101N18184,MORRIS RD,BETHANY BND/MCGINNIS FERRY RD,False,0.0
101N18187,OLD MILTON PKWY,GA-9/GA-120/S MAIN ST,True,5.0
101N18186,OLD MILTON PKWY,WILLS RD,False,0.0
101N18189,ACADEMY ST,GA-9/N MAIN ST,False,0.0
101N53065,MILTON AVE,GA-9/S MAIN ST/ALPHARETTA HWY/N MAIN ST,False,0.0
101N53186,UNION HILL RD,MULLINAX RD,False,0.0
101N53064,MILTON AVE,WILLS RD,False,0.0
101N53185,UNION HILL RD,MCFARLAND PKWY,False,0.0
101N53184,UNION HILL RD,MCGINNIS FERRY RD/RONALD REAGAN BLVD,False,0.0
101N53062,WEBB BRIDGE RD,GA-120/KIMBALL BRIDGE RD,False,0.0
101N18181,WESTSIDE PKWY,WINDWARD PKWY,False,0.0
101N53061,WEBB BRIDGE RD,NORTH POINT PKWY,False,0.0
101N18180,WESTSIDE PKWY,ACADEMY ST,False,0.0
101N53060,WEBB BRIDGE RD,HOSPITALITY HWY,False,0.0
101N53181,HOLBROOK CAMPGROUND RD,BIRMINGHAM RD,False,0.0
101P18190,ACADEMY ST,WEBB BRIDGE RD,False,0.0
101+18180,WESTSIDE PKWY,ACADEMY ST,False,0.0
101+18181,WESTSIDE PKWY,WINDWARD PKWY,False,0.0
101+18184,MORRIS RD,BETHANY BND/MCGINNIS FERRY RD,False,0.0
101N51790,GA-372,GA-140/ARNOLD MILL RD/HOUZE RD,False,0.0
101-18189,ACADEMY ST,GA-9/N MAIN ST,False,0.0
101N53055,WINDWARD PKY W,CLUB HOUSE DR,False,0.0
101N53176,BETHANY BND/BETHANY RD,MORRIS RD/MCGINNIS FERRY RD,False,0.0
101N53054,WINDWARD PKY W,MCGINNIS FERRY RD,False,0.0
101N53175,BETHANY BND/BETHANY RD,GA-9/ALPHARETTA HWY/CUMMING HWY,False,0.0
101N18190,ACADEMY ST,WEBB BRIDGE RD,False,0.0
101N53173,BETHANY BND/BETHANY RD,HOPEWELL RD,False,0.0
101N53171,HOPEWELL RD/HOLBROOK CAMPGROUND RD,WILKIE RD,False,0.0
101-18183,MORRIS RD,DEERFIELD PKWY,False,0.0
101P18183,MORRIS RD,DEERFIELD PKWY,False,0.0
101-18186,OLD MILTON PKWY,WILLS RD,False,0.0
101P18181,WESTSIDE PKWY,WINDWARD PKWY,False,0.0
101P18180,WESTSIDE PKWY,ACADEMY ST,False,0.0
101+18190,ACADEMY ST,WEBB BRIDGE RD,False,0.0
101P18187,OLD MILTON PKWY,GA-9/GA-120/S MAIN ST,False,0.0
101P18186,OLD MILTON PKWY,WILLS RD,True,0.0
101P18184,MORRIS RD,BETHANY BND/MCGINNIS FERRY RD,False,0.0
101-18180,WESTSIDE PKWY,ACADEMY ST,False,0.0
101P18189,ACADEMY ST,GA-9/N MAIN ST,False,0.0
101-14378,JONES BRIDGE RD,SARGENT RD,False,0.0
101-14377,JONES BRIDGE RD,GA-120/ABBOTTS BRG RD,False,0.0
101-14376,JONES BRIDGE RD,STATE BRIDGE RD,False,0.0
101-14375,JONES BRIDGE RD,BUICE RD,False,0.0
101-14374,JONES BRIDGE RD,OLD ALABAMA RD,False,0.0
101P53061,WEBB BRIDGE RD,NORTH POINT PKWY,False,0.0
101-14373,JONES BRIDGE RD,BARNWELL RD,False,0.0
101P53060,WEBB BRIDGE RD,HOSPITALITY HWY,False,0.0
101P53181,HOLBROOK CAMPGROUND RD,BIRMINGHAM RD,False,0.0
101-18179,WESTSIDE PKWY,GA-120/OLD MILTON PKWY,False,0.0
101N53166,HOPEWELL RD,FRANCIS RD/COGBURN RD,False,0.0
101-18178,WESTSIDE PKWY,HAYNES BRIDGE RD,False,0.0
101-19944,OLD ALABAMA RD,NESBIT FERRY RD,False,0.0
101P20051,OLD ALABAMA RD CONN,MANSELL RD,False,0.0
101N53161,HOPEWELL RD,PEBBLE TRL,False,0.0
101-18171,MANSELL RD,N POINT PKWY,False,0.0
101-18170,MANSELL RD,US-19/TURNER MCDONALD PKWY,False,0.0
101+53171,HOPEWELL RD/HOLBROOK CAMPGROUND RD,WILKIE RD,False,0.0
101-18172,MANSELL RD,OLD ALABAMA RD CONN,False,0.0
101+53170,HOPEWELL RD,MOUNTAIN RD,False,0.0
101-18177,WESTSIDE PKWY,HEMBREE RD,False,0.0
101-18176,WESTSIDE PKWY,OLD ROSWELL RD,False,0.0
101N14362,RUCKER RD,WILLS RD,True,6.0
101-14371,MCGINNIS FERRY RD,TIDWELL DR,False,0.0
101P53184,UNION HILL RD,MCGINNIS FERRY RD/RONALD REAGAN BLVD,True,6.0
101-14370,MCGINNIS FERRY RD,MCFARLAND RD,False,0.0
101P53062,WEBB BRIDGE RD,GA-120/KIMBALL BRIDGE RD,False,0.0
101P53065,MILTON AVE,GA-9/S MAIN ST/ALPHARETTA HWY/N MAIN ST,False,0.0
101P53186,UNION HILL RD,MULLINAX RD,False,0.0
101P53064,MILTON AVE,WILLS RD,False,0.0
101P53185,UNION HILL RD,MCFARLAND PKWY,False,0.0
101P53189,SHILOH RD,MCFARLAND PKWY,False,0.0
101N18173,MANSELL RD,HAYNES BRIDGE RD,False,0.0
101+51798,GA-372,MOUNTAIN RD,False,0.0
101+51797,GA-372,NEW BULLPEN RD,False,0.0
101N18178,WESTSIDE PKWY,HAYNES BRIDGE RD,False,0.0
101P53171,HOPEWELL RD/HOLBROOK CAMPGROUND RD,WILKIE RD,False,0.0
101+51799,GA-372,BIRMINGHAM RD,False,0.0
101N14372,MCGINNIS FERRY RD,BETHANY BND/MORRIS RD,False,0.0
101P20045,NESBIT FERRY RD,GA-140/HOLCOMB BRIDGE RD,False,0.0
101N53153,BETHANY RD,MAYFIELD RD,False,0.0
101-18169,MANSELL RD,OLD ROSWELL RD/WESTSIDE PKWY,False,0.0
101N53152,BETHANY RD,MID BROADWELL RD,False,0.0
101N53150,MAYFIELD RD,GA-9/N MAIN ST,False,0.0
101N18170,MANSELL RD,US-19/TURNER MCDONALD PKWY,False,0.0
101P20043,SCOTT RD,NESBIT FERRY RD,False,0.0
101-20195,WILLS RD,HEMBREE RD,False,0.0
101-20196,WILLS RD,GA-9/GA-120/S MAIN ST/ALPHARETTA HWY,False,0.0
101N14379,JONES BRIDGE RD,MCGINNIS FERRY RD,True,40.0
101+53061,WEBB BRIDGE RD,NORTH POINT PKWY,False,0.0
101N14377,JONES BRIDGE RD,GA-120/ABBOTTS BRG RD,False,0.0
101+53062,WEBB BRIDGE RD,GA-120/KIMBALL BRIDGE RD,False,0.0
101+53180,HOLBROOK CAMPGROUND RD,DREW RD,False,0.0
101N14376,JONES BRIDGE RD,STATE BRIDGE RD,False,0.0
101+53181,HOLBROOK CAMPGROUND RD,BIRMINGHAM RD,False,0.0
101N14373,JONES BRIDGE RD,BARNWELL RD,False,0.0
101-20194,WILLS RD,OLD ROSWELL RD,False,0.0
101-14360,RUCKER RD,GA-140/HOUZE RD,False,0.0
101P53173,BETHANY BND/BETHANY RD,HOPEWELL RD,False,0.0
101N18179,WESTSIDE PKWY,GA-120/OLD MILTON PKWY,False,0.0
101P53054,WINDWARD PKY W,MCGINNIS FERRY RD,False,0.0
101P53175,BETHANY BND/BETHANY RD,GA-9/ALPHARETTA HWY/CUMMING HWY,False,0.0
101P51790,GA-372,GA-140/ARNOLD MILL RD/HOUZE RD,False,0.0
101P53056,WINDWARD PKY W,WINDWARD CON,False,0.0
101P53055,WINDWARD PKY W,CLUB HOUSE DR,False,0.0
101P53176,BETHANY BND/BETHANY RD,MORRIS RD/MCGINNIS FERRY RD,False,0.0
101P53057,WINDWARD PKY W,NORTH POINT PKWY,False,0.0
101P53178,HOLBROOK CAMPGROUND RD,WILKIE RD,True,0.0
101P14354,HAYNES BRIDGE RD,ACADEMY ST,False,0.0
101P14353,HAYNES BRIDGE RD,GA-120/MADDOX ST/OLD MILTON PKY,False,0.0
101-14353,HAYNES BRIDGE RD,GA-120/MADDOX ST/OLD MILTON PKY,False,0.0
101P14358,HARDSCRABBLE RD,GA-140/ARNOLD MILL RD/HOUZE RD,False,0.0
101-14352,HAYNES BRIDGE RD,MORRISON PKY/WESTSIDE PKY,False,0.0
101-14351,HAYNES BRIDGE RD,US-19/GA-400/TURNER MCDONALD PKY,False,0.0
101-14350,HAYNES BRIDGE RD,NORTH POINT PKY,False,0.0
101P14359,RUCKER RD,CRABAPPLE RD,False,0.0
101P20110,WATERS RD,KIMBALL BRIDGE RD,False,0.0
101-53318,SARGENT RD,JONES BRIDGE RD,False,0.0
101+07135,GA-120,US-19/GA-400/TURNER MCDONALD PKY,False,0.0
101+07134,GA-120,HAYNES BRIDGE RD,False,0.0
101+53150,MAYFIELD RD,GA-9/N MAIN ST,False,0.0
101P07820,GA-120,JONES BRIDGE RD,False,0.0
101+14343,NORTH POINT PKY,KIMBALL BRIDGE RD,False,0.0
101P53161,HOPEWELL RD,PEBBLE TRL,False,0.0
101+14344,NORTH POINT PKY,GA-120/OLD MILTON PKY,False,0.0
101+14342,NORTH POINT PKY,HAYNES BRIDGE RD,False,0.0
101P14350,HAYNES BRIDGE RD,NORTH POINT PKY,False,0.0
101P53166,HOPEWELL RD,FRANCIS RD/COGBURN RD,False,0.0
101+14340,DEERFIELD PKY,GA-9/CUMMING HWY,False,0.0
101P14352,HAYNES BRIDGE RD,MORRISON PKY/WESTSIDE PKY,False,0.0
101P14351,HAYNES BRIDGE RD,US-19/GA-400/TURNER MCDONALD PKY,False,0.0
101P53167,HOPEWELL RD,THOMPSON RD/S THOMPSON RD,False,0.0
101P14343,NORTH POINT PKY,KIMBALL BRIDGE RD,False,0.0
101N20196,WILLS RD,GA-9/GA-120/S MAIN ST/ALPHARETTA HWY,False,0.0
101+07819,GA-120,STATE BRIDGE RD/KIMBALL BRIDGE RD,False,0.0
101P14342,NORTH POINT PKY,HAYNES BRIDGE RD,False,0.0
101N20197,WILLS RD,MARIETTA ST/OLD MILTON PKWY/RUCKER RD,True,19.0
101-14345,NORTH POINT PKY,WEBB BRIDGE RD,False,0.0
101-14344,NORTH POINT PKY,GA-120/OLD MILTON PKY,False,0.0
101P14344,NORTH POINT PKY,GA-120/OLD MILTON PKY,False,0.0
101-14343,NORTH POINT PKY,KIMBALL BRIDGE RD,False,0.0
101-14342,NORTH POINT PKY,HAYNES BRIDGE RD,False,0.0
101P14347,HAYNES BRIDGE RD,OLD ALABAMA RD,True,24.0
101-14341,NORTH POINT PKY,MANSELL RD,False,0.0
101P14346,NORTH POINT PKY,WINDWARD PKY,False,0.0
101N20194,WILLS RD,OLD ROSWELL RD,False,0.0
101P07134,GA-120,HAYNES BRIDGE RD,False,0.0
101-20090,HEMBREE RD,WILLS RD,False,0.0
101P07135,GA-120,US-19/GA-400/TURNER MCDONALD PKY,False,0.0
101-20091,HEMBREE RD,OLD ROSWELL RD,False,0.0
101-53308,BROADWELL RD,RUCKER RD,False,0.0
101+53162,HOPEWELL RD,CANTON ST,False,0.0
101+07820,GA-120,JONES BRIDGE RD,False,0.0
101+14354,HAYNES BRIDGE RD,ACADEMY ST,False,0.0
101P53150,MAYFIELD RD,GA-9/N MAIN ST,False,0.0
101+20106,KIMBALL BRIDGE RD,GA-120/STATE BRIDGE RD,False,0.0
101-07135,GA-120,US-19/GA-400/TURNER MCDONALD PKY,False,0.0
101P53153,BETHANY RD,MAYFIELD RD,False,0.0
101+14352,HAYNES BRIDGE RD,MORRISON PKY/WESTSIDE PKY,False,0.0
101+20107,KIMBALL BRIDGE RD,GA-120,False,0.0
101-07134,GA-120,HAYNES BRIDGE RD,False,0.0
101P53152,BETHANY RD,MID BROADWELL RD,True,75.0
101+14353,HAYNES BRIDGE RD,GA-120/MADDOX ST/OLD MILTON PKY,False,0.0
101+14350,HAYNES BRIDGE RD,NORTH POINT PKY,False,0.0
101+14351,HAYNES BRIDGE RD,US-19/GA-400/TURNER MCDONALD PKY,False,0.0
101P14341,NORTH POINT PKY,MANSELL RD,True,7.0
101P14340,DEERFIELD PKY,GA-9/CUMMING HWY,False,0.0
101P53156,BETHANY RD/BETHANY WAY,HOPEWELL RD,False,0.0
101P14376,JONES BRIDGE RD,STATE BRIDGE RD,False,0.0
101N20043,SCOTT RD,NESBIT FERRY RD,False,0.0
101-14334,GA-9,MCFARLAND RD/NINE MCFARLAND DR,False,0.0
101-11186,GA-140,GA-372/CRABAPPLE RD,False,0.0
101-14333,GA-9,BETHANY BND/BETHANY RD,False,0.0
101P14377,JONES BRIDGE RD,GA-120/ABBOTTS BRG RD,False,0.0
101-14332,GA-9,DEERFIELD PKY,False,0.0
101N20045,NESBIT FERRY RD,GA-140/HOLCOMB BRIDGE RD,False,0.0
101-14331,GA-9,WEBB RD,False,0.0
101-14330,GA-9,WINDWARD PKY W,False,0.0
101P14379,JONES BRIDGE RD,MCGINNIS FERRY RD,False,0.0
101+53249,NEW PROVIDENCE RD,GA-372/BIRMINGHAM HWY,False,0.0
101+53129,COGBURN RD,WINDWARD PKWY,False,0.0
101-53219,MOUNTAIN RD,FREEMANVILLE RD,False,0.0
101-53218,MOUNTAIN RD/KING RD,GA-372/BIRMINGHAM RD,False,0.0
101P18172,MANSELL RD,OLD ALABAMA RD CONN,False,0.0
101P18170,MANSELL RD,US-19/TURNER MCDONALD PKWY,False,0.0
101P53142,CHARLOTTE DR,MAYFIELD RD,False,0.0
101P18173,MANSELL RD,HAYNES BRIDGE RD,True,6.0
101P53141,CHARLOTTE DR,MID BROADWELL RD,False,0.0
101P14372,MCGINNIS FERRY RD,BETHANY BND/MORRIS RD,False,0.0
101+14361,RUCKER RD,BROADWELL RD/WALLACE WOODS LN,False,0.0
101P53144,MAYFIELD RD,GA-372/BIRMINGHAM HWY/BROADWELL RD,False,0.0
101-05622,WINDWARD PKY W,US-19/GA-400,False,0.0
101P18179,WESTSIDE PKWY,GA-120/OLD MILTON PKWY,False,0.0
101P18178,WESTSIDE PKWY,HAYNES BRIDGE RD,False,0.0
101P14373,JONES BRIDGE RD,BARNWELL RD,False,0.0
101+14360,RUCKER RD,GA-140/HOUZE RD,False,0.0
101P53145,MAYFIELD RD,CHARLOTTE DR,False,0.0
101+18176,WESTSIDE PKWY,OLD ROSWELL RD,False,0.0
101+18177,WESTSIDE PKWY,HEMBREE RD,False,0.0
101+18178,WESTSIDE PKWY,HAYNES BRIDGE RD,False,0.0
101+18179,WESTSIDE PKWY,GA-120/OLD MILTON PKWY,False,0.0
101+53139,MID BROADWELL RD,WILLS RD,False,0.0
101N20051,OLD ALABAMA RD CONN,MANSELL RD,False,0.0
101-53208,MCFARLAND PKWY,UNION HILL RD,False,0.0
101-53207,MCFARLAND PKWY,GA-400/US-19/TURNER MCDONALD PKWY/HOSPITALITY HWY,False,0.0
101+14376,JONES BRIDGE RD,STATE BRIDGE RD,False,0.0
101+14377,JONES BRIDGE RD,GA-120/ABBOTTS BRG RD,False,0.0
101+18170,MANSELL RD,US-19/TURNER MCDONALD PKWY,False,0.0
101P53252,CUMMING ST/UNION HILL RD,WESTSIDE PKWY,False,0.0
101P53131,COGBURN RD,HOPEWELL RD/FRANCIS RD,False,0.0
101+14374,JONES BRIDGE RD,OLD ALABAMA RD,False,0.0
101+18171,MANSELL RD,N POINT PKWY,True,0.0
101P53251,CUMMING ST,GA-9/N MAIN ST,False,0.0
101+14375,JONES BRIDGE RD,BUICE RD,False,0.0
101+18172,MANSELL RD,OLD ALABAMA RD CONN,False,0.0
101+14372,MCGINNIS FERRY RD,BETHANY BND/MORRIS RD,False,0.0
101P53133,FRANCIS RD,HOPEWELL RD/COGBURN RD,False,0.0
101+18173,MANSELL RD,HAYNES BRIDGE RD,True,6.0
101+14370,MCGINNIS FERRY RD,MCFARLAND RD,False,0.0
101P14362,RUCKER RD,WILLS RD,False,0.0
101+14371,MCGINNIS FERRY RD,TIDWELL DR,False,0.0
