tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
101P53212,FREEMANVILLE RD,NORTHBOUND,PROVIDENCE RD,GA,FULTON,30004,34.1194,-84.33021,34.1197,-84.32998,0.034858,2.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53211,FREEMANVILLE RD,NORTHBOUND,MAYFIELD RD,GA,FULTON,30009,34.09577,-84.33038,34.09602,-84.33043,0.017468,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53309,BROADWELL RD,NORTHBOUND,GA-372/CRABAPPLE RD/MAYFIELD RD,GA,FULTON,30004,34.07933,-84.33979,34.08983,-84.33946,0.725347,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20199,OLD ROSWELL RD,NORTHBOUND,WESTSIDE PKWY,GA,FULTON,30076,34.04413,-84.31959,34.04455,-84.31987,0.033114,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53142,CHARLOTTE DR,SOUTHBOUND,MAYFIELD RD,GA,FULTON,30004,34.09096,-84.33614,34.09068,-84.33606,0.030369,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53141,CHARLOTTE DR,SOUTHBOUND,MID BROADWELL RD,GA,FULTON,30004,34.08825,-84.33502,34.0876,-84.33473,0.047788,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N06954,STATE BRIDGE RD,EASTBOUND,GA-120/KIMBALL BRIDGE RD,GA,FULTON,30005,34.05569,-84.23127,34.0553,-84.23099,0.031314,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20194,WILLS RD,NORTHBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.05857,-84.31135,34.05874,-84.31157,0.017221,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20197,WILLS RD,NORTHBOUND,MARIETTA ST/OLD MILTON PKWY/RUCKER RD,GA,FULTON,30076,34.07276,-84.31089,34.0729,-84.31083,0.010245,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20196,WILLS RD,NORTHBOUND,GA-9/GA-120/S MAIN ST/ALPHARETTA HWY,GA,FULTON,30076,34.06591,-84.31188,34.06623,-84.31189,0.022067,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N05622,WINDWARD PKY W,EASTBOUND,US-19/GA-400,GA,FULTON,30004,34.08756,-84.2637,34.08817,-84.26048,0.190165,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N06953,STATE BRIDGE RD,EASTBOUND,GA-120/OLD MILTON PKY,GA,FULTON,30005,34.05779,-84.23287,34.05763,-84.2327,0.014721,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14346,NORTH POINT PKY,SOUTHBOUND,WINDWARD PKY,GA,FULTON,30004,34.08881,-84.25703,34.08868,-84.25699,0.009251,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14344,NORTH POINT PKY,SOUTHBOUND,GA-120/OLD MILTON PKY,GA,FULTON,30005,34.06813,-84.26121,34.06761,-84.26148,0.039048,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14342,NORTH POINT PKY,SOUTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.04866,-84.28644,34.04864,-84.28663,0.010988,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14341,NORTH POINT PKY,SOUTHBOUND,MANSELL RD,GA,FULTON,30076,34.03818,-84.30636,34.03768,-84.30649,0.035277,10.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14340,DEERFIELD PKY,SOUTHBOUND,GA-9/CUMMING HWY,GA,FULTON,30004,34.1065,-84.26944,34.10644,-84.26907,0.021613,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53164,HOPEWELL RD,SOUTHBOUND,BETHANY WAY/BETHANY RD,GA,FULTON,30004,34.12449,-84.30163,34.11737,-84.2952,0.627675,11.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53163,HOPEWELL RD,SOUTHBOUND,BETHANY RD/BETHANY BND,GA,FULTON,30004,34.11737,-84.2952,34.11611,-84.29448,0.09662,12.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53162,HOPEWELL RD,SOUTHBOUND,CANTON ST,GA,FULTON,30004,34.11575,-84.29448,34.08873,-84.29628,1.958528,13.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53161,HOPEWELL RD,SOUTHBOUND,PEBBLE TRL,GA,FULTON,30009,34.08873,-84.29628,34.08707,-84.29645,0.114832,14.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
